Shop Name,Address,City,State,Shop Type,Phone,Website,Notes,Priority,Status,Contact Date,Visit Date,Outcome
The Love of Ganesha,1700 Haight St,San Francisco,CA,Metaphysical/Spiritual,,https://www.loveofganesha.com/,Already a partner - spiritual sanctuary crystals,Existing Partner,Partnered,,,
Kiki's Cocoa,Boutique chocolatier,San Francisco,CA,Boutique Chocolate,,,Already a partner - ethically-sourced single-origin,Existing Partner,Partnered,,,
East West Bookshop,324 Castro St,Mountain View,CA,Metaphysical/Spiritual,,,Expansive metaphysical hub with books on spirituality crystals essential oils singing bowls and event spaces. Emphasis on mindfulness and holistic living aligns with regenerative practices. Ideal for introducing cacao in consignment setup tied to equanimity and connection,High,Research,,,
7 Rays Holistic Center,3035 El Camino Real,Palo Alto,CA,Wellness Center,,,Offers reiki crystal healing and metaphysical products like tarot and sacred geometry. Focus on energy work and personal growth mirrors protective flourishing intentions. Suitable for cacao as ceremonial enhancement,High,Research,,,
Ancient Ways,2980 Meridian Ave,San Jose,CA,Metaphysical/Spiritual,,,Pagan and metaphysical store with herbs candles books and ritual supplies. Community-oriented events and emphasis on ancient traditions fit nomadic intuitive vibe. Fosters courage and renunciation through sacred practices,High,Research,,,
The Universal Connection,1261 Lincoln Ave #104,San Jose,CA,Metaphysical/Spiritual,,,Features crystals incense oracle decks and healing sessions. Serene spot for spiritual seekers where cacao could complement smudging and intention-setting tools. Strong patterns in altars and community altars,High,Research,,,
Paxton Gate,824 Valencia St,San Francisco,CA,Curiosity Shop,,,Curiosity shop blending natural history with metaphysical items like minerals taxidermy and oddities. Eclectic bohemian vibe suits tropical independent coastlines feel. Potential for cacao as unique regenerative addition to inventory,Medium,Research,,,
Infinity Coven,2827 25th St,San Francisco,CA,Metaphysical/Spiritual,,,Witchy boutique with spells herbs books and community workshops. Focus on magic and empowerment aligns with seva and flow-holding. Good fit for cacao in consignment for group rituals,High,Research,,,
The Sacred Well,536 Grand Ave,Oakland,CA,Metaphysical/Spiritual,,,Magical emporium with crystals herbs tarot and classes on spirituality. Community-driven approach matches transformative journeys and mantra invocations. Cacao fitting as life-force enhancer,High,Research,,,
Ancient Future,2903 College Ave,Berkeley,CA,Metaphysical/Spiritual,,,Features global spiritual artifacts books and wellness products. Nomadic horizon-shifting vibe supports consignment for cacao in settings that evoke impermanence and natural unfolding,High,Research,,,
[Research Needed] Oakland Wellness Center,[TBD],Oakland,CA,Wellness Center,,,Search: 'Oakland wellness center' or 'Oakland yoga studio retail',High,Research,,,
[Research Needed] Stockton Spiritual Shop,[TBD],Stockton,CA,Metaphysical/Spiritual,,,Search: 'Stockton metaphysical' or 'Stockton spiritual store',Medium,Research,,,
[Research Needed] Modesto Health Food,[TBD],Modesto,CA,Health Food Store,,,Search: 'Modesto health food store' or 'Modesto natural foods',Medium,Research,,,
[Research Needed] Fresno Metaphysical,[TBD],Fresno,CA,Metaphysical/Spiritual,,,Search: 'Fresno metaphysical shop' or 'Fresno crystal shop',High,Research,,,
[Research Needed] Fresno Wellness Center,[TBD],Fresno,CA,Wellness Center,,,Search: 'Fresno wellness center' or 'Fresno yoga studio',Medium,Research,,,
[Research Needed] Bakersfield Spiritual Shop,[TBD],Bakersfield,CA,Metaphysical/Spiritual,,,Search: 'Bakersfield metaphysical' or 'Bakersfield spiritual store',Medium,Research,,,
[Research Needed] Bakersfield Health Food,[TBD],Bakersfield,CA,Health Food Store,,,Search: 'Bakersfield health food store' or 'Bakersfield natural foods',Medium,Research,,,
[Research Needed] Mojave Spiritual Shop,[TBD],Mojave,CA,Metaphysical/Spiritual,,,Smaller town - may need to search broader area or nearby cities,Low,Research,,,
[Research Needed] Barstow Metaphysical,[TBD],Barstow,CA,Metaphysical/Spiritual,,,Search: 'Barstow spiritual store' or check nearby cities,Low,Research,,,
[Research Needed] Needles Area Shops,[TBD],Needles,CA,Metaphysical/Spiritual,,,Near AZ border - check for spiritual/wellness shops,Medium,Research,,,
[Research Needed] Kingman Metaphysical,[TBD],Kingman,AZ,Metaphysical/Spiritual,,,Search: 'Kingman crystals' or 'Kingman metaphysical shop' or 'Kingman spiritual store',High,Research,,,
[Research Needed] Kingman Wellness Center,[TBD],Kingman,AZ,Wellness Center,,,Search: 'Kingman yoga studio' or 'Kingman wellness center',Medium,Research,,,
[Research Needed] Lake Havasu Metaphysical,[TBD],Lake Havasu City,AZ,Metaphysical/Spiritual,,,Search: 'Lake Havasu crystals' or 'Lake Havasu spiritual store',High,Research,,,
[Research Needed] Lake Havasu Wellness,[TBD],Lake Havasu City,AZ,Wellness Center,,,Search: 'Lake Havasu yoga studio' or 'Lake Havasu wellness center',Medium,Research,,,
[Research Needed] Parker Spiritual Shop,[TBD],Parker,AZ,Metaphysical/Spiritual,,,Search: 'Parker AZ metaphysical' or 'Parker spiritual store',Medium,Research,,,
[Research Needed] Quartzsite Gem Show Vendors,Various locations during shows,Quartzsite,AZ,Metaphysical/Spiritual,,,Famous for gem/mineral shows - target vendors with permanent retail spaces,High,Research,,,
[Research Needed] Quartzsite Metaphysical Shop,[TBD],Quartzsite,AZ,Metaphysical/Spiritual,,,Search: 'Quartzsite crystals' or 'Quartzsite metaphysical' - many shops during show season,High,Research,,,
